PWVmidTim,Tdelay
20110112/1445,2127.5
20110112/1515,2131.1
20110112/1545,2129.6
20110112/1615,2133.9
20110112/1645,2138.3
20110112/1715,2136.3
20110112/1745,2131.1
20110112/1815,2129.6
20110112/1845,2131.1
20110112/1915,2130.9
20110112/1945,2132.0
20110112/2015,2133.0
20110112/2045,2131.4
20110112/2115,2132.4
20110112/2145,2131.4
20110112/2215,2129.8
20110112/2245,2129.6
20110112/2315,2127.5
20110113/0015,2131.0
20110113/0045,2127.8
20110113/0115,2123.0
20110113/0145,2124.0
20110113/0215,2121.8
20110113/0245,2120.6
20110113/0315,2123.0
20110113/0345,2123.7
20110113/0415,2121.2
20110113/0445,2118.9
20110113/0515,2120.8
20110113/0545,2121.4
20110113/0615,2119.8
20110113/0645,2120.2
20110113/0715,2119.7
20110113/0745,2116.7
20110113/0815,2117.2
20110113/0845,2118.5
20110113/0915,2115.4
20110113/0945,2114.3
20110113/1015,2116.4
20110113/1045,2118.3
20110113/1115,2118.9
20110113/1145,2116.9
20110113/1215,2116.7
20110113/1245,2118.8
20110113/1315,2118.6
20110113/1345,2117.2
20110113/1415,2118.6
20110113/1445,2120.7
20110113/1515,2119.1
20110113/1545,2117.6
20110113/1615,2118.6
20110113/1645,2118.5
20110113/1715,2119.9
20110113/1745,2119.2
20110113/1815,2116.9
20110113/1845,2117.6
20110113/1915,2117.5
20110113/1945,2117.3
20110113/2015,2119.9
20110113/2045,2121.5
20110113/2115,2118.1
20110113/2145,2113.6
20110113/2215,2115.8
20110113/2245,2124.2
20110113/2315,2121.1
20110114/0015,2114.0
20110114/0045,2115.6
20110114/0115,2113.0
20110114/0145,2112.3
20110114/0215,2113.4
20110114/0245,2115.2
20110114/0315,2118.6
20110114/0345,2118.4
20110114/0415,2116.3
20110114/0445,2115.9
20110114/0515,2120.7
20110114/0545,2119.7
20110114/0615,2117.5
20110114/0645,2118.6
20110114/0715,2119.4
20110114/0745,2120.9
20110114/0815,2118.3
20110114/0845,2116.1
20110114/0915,2116.5
20110114/0945,2118.1
20110114/1015,2118.0
20110114/1045,2117.3
20110114/1115,2116.6
20110114/1145,2114.5
20110114/1215,2117.2
20110114/1245,2119.2
20110114/1315,2122.4
20110114/1345,2121.8
20110114/1415,2116.1
20110114/1445,2117.7
20110114/1515,2115.1
20110114/1545,2115.6
20110114/1615,2121.4
20110114/1645,2123.4
20110114/1715,2124.5
20110114/1745,2125.9
20110114/1815,2124.8
20110114/1845,2125.4
20110114/1915,2126.9
20110114/1945,2123.8
20110114/2015,2125.8
20110114/2045,2126.3
20110114/2115,2124.6
20110114/2145,2123.0
20110114/2215,2124.3
20110114/2245,2124.7
20110115/0015,2134.5
20110115/0045,2132.8
20110115/0115,2130.9
20110115/0145,2131.3
20110115/0215,2130.5
20110115/0245,2130.7
20110115/0315,2130.5
20110115/0345,2128.8
20110115/0415,2127.4
20110115/0445,2127.7
20110115/0515,2129.5
20110115/0545,2128.7
20110115/0615,2126.8
20110115/0645,2127.6
20110115/0715,2129.1
20110115/0745,2126.3
20110115/0815,2122.7
20110115/0845,2123.9
20110115/0915,2125.1
20110115/0945,2123.9
20110115/1015,2125.2
20110115/1045,2128.6
20110115/1115,2127.4
20110115/1145,2124.1
20110115/1215,2122.9
20110115/1245,2122.0
20110115/1315,2124.2
20110115/1345,2123.9
20110115/1415,2123.3
20110115/1445,2125.5
20110115/1515,2121.9
20110115/1545,2122.9
20110115/1615,2128.3
20110115/1645,2125.7
20110115/1715,2125.1
20110115/1745,2125.2
20110115/1815,2125.5
20110115/1845,2129.7
20110115/1915,2128.9
20110115/1945,2129.4
20110115/2015,2134.9
20110115/2045,2135.0
20110115/2115,2132.8
20110115/2145,2130.2
20110115/2215,2129.7
20110115/2245,2131.3
20110115/2315,2130.0
20110116/0015,2132.2
20110116/0045,2130.5
20110116/0115,2130.4
20110116/0145,2131.9
20110116/0215,2130.4
20110116/0245,2130.0
20110116/0315,2132.5
20110116/0345,2134.7
20110116/0415,2136.8
20110116/0445,2136.5
20110116/0515,2135.3
20110116/0545,2134.9
20110116/0615,2136.9
20110116/0645,2138.5
20110116/0715,2135.5
20110116/0745,2135.3
20110116/0815,2134.6
20110116/0845,2132.8
20110116/0915,2136.7
20110116/0945,2139.6
20110116/1015,2141.8
20110116/1045,2144.5
20110116/1115,2142.1
20110116/1145,2141.2
20110116/1215,2143.1
20110116/1245,2144.4
20110116/1315,2144.2
20110116/1345,2144.4
20110116/1415,2147.2
20110116/1445,2146.9
20110116/1515,2145.8
20110116/1545,2148.2
20110116/1615,2151.4
20110116/1645,2149.6
20110116/1715,2146.3
20110116/1745,2145.6
20110116/1815,2144.1
20110116/1845,2142.4
20110116/1915,2142.6
20110116/1945,2145.4
20110116/2015,2146.3
20110116/2045,2145.7
20110116/2115,2147.0
20110116/2145,2142.5
20110116/2215,2140.2
20110116/2245,2143.6
20110116/2315,2147.2
20110117/0015,2146.8
20110117/0045,2145.5
20110117/0115,2144.7
20110117/0145,2149.4
20110117/0215,2148.3
20110117/0245,2145.2
20110117/0315,2147.2
20110117/0345,2150.0
20110117/0415,2150.4
20110117/0445,2149.8
20110117/0515,2149.0
20110117/0545,2144.3
20110117/0615,2144.3
20110117/0645,2147.3
20110117/0715,2146.9
20110117/0745,2145.2
20110117/0815,2139.9
20110117/0845,2135.8
20110117/0915,2135.5
20110117/0945,2141.6
20110117/1015,2145.5
20110117/1045,2143.1
20110117/1115,2140.4
20110117/1145,2137.0
20110117/1215,2137.2
20110117/1245,2137.9
20110117/1315,2136.8
20110117/1345,2131.0
20110117/1415,2128.8
20110117/1445,2132.9
20110117/1515,2135.2
20110117/1545,2139.6
20110117/1615,2140.7
20110117/1645,2136.4
20110117/1715,2134.1
20110117/1745,2132.1
20110117/1815,2133.2
20110117/1845,2132.6
20110117/1915,2130.9
20110117/1945,2133.1
20110117/2015,2135.5
20110117/2045,2138.3
20110117/2115,2139.7
20110117/2145,2134.8
20110117/2215,2133.8
20110117/2245,2137.6
20110117/2315,2138.5
20110118/0015,2139.1
20110118/0045,2137.3
20110118/0115,2138.7
20110118/0145,2138.2
20110118/0215,2138.7
20110118/0245,2141.0
20110118/0315,2136.4
20110118/0345,2131.3
20110118/0415,2133.2
20110118/0445,2131.9
20110118/0515,2132.5
20110118/0545,2135.8
20110118/0615,2131.5
20110118/0645,2129.8
20110118/0715,2130.9
20110118/0745,2130.6
20110118/0815,2132.7
20110118/0845,2133.7
20110118/0915,2134.3
20110118/0945,2134.2
20110118/1015,2132.5
20110118/1045,2134.2
20110118/1115,2133.9
20110118/1145,2131.2
20110118/1215,2134.0
20110118/1245,2131.9
20110118/1315,2128.8
20110118/1345,2129.8
20110118/1415,2131.8
20110118/1445,2131.1
20110118/1515,2128.1
20110118/1545,2130.2
20110118/1615,2132.0
20110118/1645,2130.4
20110118/1715,2131.2
20110118/1745,2129.9
20110118/1815,2128.5
20110118/1845,2128.1
20110118/1915,2127.3
20110118/1945,2128.1
20110118/2015,2128.5
20110118/2045,2127.5
20110118/2115,2125.4
20110118/2145,2121.9
20110118/2215,2119.9
20110118/2245,2120.0
20110118/2315,2119.2
20110119/0015,2118.0
20110119/0045,2115.9
20110119/0115,2116.0
20110119/0145,2112.7
20110119/0215,2114.1
20110119/0245,2119.6
20110119/0315,2120.2
20110119/0345,2119.0
20110119/0415,2120.4
20110119/0445,2120.5
20110119/0515,2114.4
20110119/0545,2111.8
20110119/0615,2114.4
20110119/0645,2116.1
20110119/0715,2116.1
20110119/0745,2115.3
20110119/0815,2114.6
20110119/0845,2110.7
20110119/0915,2107.8
20110119/0945,2109.6
20110119/1015,2112.8
20110119/1045,2115.0
20110119/1115,2112.6
20110119/1145,2111.1
20110119/1215,2112.4
20110119/1245,2111.9
20110119/1315,2111.8
20110119/1345,2111.2
20110119/1415,2109.6
20110119/1445,2109.2
20110119/1515,2110.0
20110119/1545,2110.8
20110119/1615,2109.0
20110119/1645,2111.0
20110119/1715,2110.7
20110119/1745,2107.1
20110119/1815,2107.9
20110119/1845,2108.8
20110119/1915,2109.1
20110119/1945,2110.3
20110119/2015,2111.1
20110119/2045,2110.7
20110119/2115,2110.5
20110119/2145,2109.7
20110119/2215,2111.8
20110119/2245,2109.9
20110119/2315,2106.2
20110120/0015,2110.7
20110120/0045,2109.2
20110120/0115,2110.4
20110120/0145,2113.0
20110120/0215,2112.4
20110120/0245,2111.9
20110120/0315,2114.4
20110120/0345,2113.2
20110120/0415,2111.4
20110120/0445,2112.7
20110120/0515,2113.0
20110120/0545,2114.1
20110120/0615,2113.9
20110120/0645,2112.8
20110120/0715,2112.5
20110120/0745,2112.6
20110120/0815,2115.1
20110120/0845,2112.1
20110120/0915,2114.5
20110120/0945,2117.9
20110120/1015,2114.2
20110120/1045,2113.3
20110120/1115,2113.2
20110120/1145,2113.4
20110120/1215,2112.8
20110120/1245,2113.0
20110120/1315,2110.0
20110120/1345,2103.9
20110120/1415,2104.8
20110120/1445,2106.9
20110120/1515,2108.9
20110120/1545,2111.4
20110120/1615,2109.8
20110120/1645,2110.8
20110120/1715,2110.9
20110120/1745,2109.5
20110120/1815,2110.9
20110120/1845,2110.4
20110120/1915,2112.3
20110120/1945,2117.0
20110120/2015,2117.0
20110120/2045,2115.9
20110120/2115,2114.6
20110120/2145,2107.8
20110120/2215,2111.2
20110120/2245,2116.4
20110120/2315,2117.2
20110121/0015,2120.1
20110121/0045,2118.8
20110121/0115,2121.0
20110121/0145,2121.4
20110121/0215,2123.2
20110121/0245,2123.1
20110121/0315,2120.7
20110121/0345,2121.5
20110121/0415,2120.5
20110121/0445,2120.4
20110121/0515,2119.3
20110121/0545,2119.7
20110121/0615,2119.6
20110121/0645,2119.2
20110121/0715,2119.6
20110121/0745,2121.0
20110121/0815,2110.6
20110121/0845,2106.8
20110121/0915,2119.2
20110121/0945,2122.5
20110121/1015,2126.1
20110121/1045,2127.8
20110121/1115,2124.6
20110121/1145,2124.4
20110121/1215,2126.8
20110121/1245,2126.8
20110121/1315,2124.6
20110121/1345,2120.9
20110121/1415,2124.6
20110121/1445,2126.1
20110121/1515,2124.0
20110121/1545,2128.5
20110121/1615,2128.0
20110121/1645,2128.0
20110121/1715,2125.1
20110121/1745,2123.3
20110121/1815,2124.7
20110121/1845,2122.7
20110121/1915,2121.5
20110121/1945,2125.4
20110121/2015,2128.4
20110121/2045,2127.8
20110121/2115,2126.7
20110121/2145,2122.5
20110121/2215,2124.2
20110121/2245,2129.0
20110121/2315,2131.6
20110122/0015,2131.7
20110122/0045,2129.5
20110122/0115,2131.3
20110122/0145,2136.4
20110122/0215,2141.4
20110122/0245,2141.4
20110122/0315,2141.0
20110122/0345,2139.0
20110122/0415,2138.2
20110122/0445,2139.9
20110122/0515,2139.1
20110122/0545,2142.2
20110122/0615,2147.7
20110122/0645,2146.7
20110122/0715,2144.4
20110122/0745,2144.9
20110122/0815,2143.6
20110122/0845,2139.7
20110122/0915,2139.7
20110122/0945,2146.0
20110122/1015,2150.9
20110122/1045,2151.2
20110122/1115,2150.7
20110122/1145,2150.1
20110122/1215,2151.0
20110122/1245,2152.3
20110122/1315,2151.8
20110122/1345,2153.0
20110122/1415,2155.9
20110122/1445,2153.1
20110122/1515,2150.7
20110122/1545,2155.4
20110122/1615,2156.6
20110122/1645,2156.6
20110122/1715,2155.3
20110122/1745,2152.9
20110122/1815,2152.2
20110122/1845,2152.8
20110122/1915,2154.3
20110122/1945,2153.0
20110122/2015,2152.0
20110122/2045,2153.1
20110122/2115,2152.8
20110122/2145,2150.5
20110122/2315,2145.7
20110123/0015,2151.7
20110123/0045,2149.3
20110123/0115,2148.1
20110123/0145,2148.8
20110123/0215,2150.3
20110123/0245,2149.8
20110123/0315,2148.7
20110123/0345,2144.5
20110123/0415,2142.8
20110123/0445,2146.9
20110123/0515,2146.5
20110123/0545,2145.3
20110123/0615,2148.4
20110123/0645,2148.0
20110123/0715,2142.9
20110123/0745,2141.4
20110123/0815,2139.7
20110123/0845,2136.3
20110123/0915,2137.1
20110123/0945,2141.3
20110123/1015,2147.2
20110123/1045,2148.6
20110123/1115,2143.5
20110123/1145,2144.4
20110123/1215,2145.3
20110123/1245,2137.9
20110123/1315,2136.8
20110123/1345,2138.5
20110123/1415,2134.4
20110123/1445,2130.5
20110123/1515,2130.2
20110123/1545,2136.0
20110123/1615,2138.4
20110123/1645,2138.2
20110123/1715,2135.1
20110123/1745,2131.2
20110123/1815,2129.2
20110123/1845,2127.6
20110123/1915,2131.3
20110123/1945,2133.1
20110123/2015,2133.2
20110123/2045,2131.1
20110123/2115,2128.1
20110123/2145,2128.0
20110123/2215,2132.6
20110123/2245,2139.8
20110123/2315,2149.0
20110124/0015,2144.1
20110124/0045,2139.0
20110124/0115,2141.4
20110124/0145,2144.0
20110124/0215,2145.5
20110124/0245,2146.9
20110124/0315,2145.5
20110124/0345,2143.6
20110124/0415,2147.6
20110124/0445,2149.9
20110124/0515,2146.8
20110124/0545,2143.9
20110124/0615,2140.6
20110124/0645,2139.7
20110124/0715,2135.2
20110124/0745,2131.5
20110124/0815,2134.7
20110124/0845,2137.3
20110124/0915,2133.9
20110124/0945,2134.4
20110124/1015,2139.9
20110124/1045,2136.8
20110124/1115,2133.3
20110124/1145,2134.3
20110124/1215,2133.0
20110124/1245,2135.6
20110124/1315,2141.4
20110124/1345,2139.2
20110124/1415,2137.5
20110124/1445,2144.3
20110124/1515,2147.0
20110124/1545,2144.0
20110124/1615,2144.0
20110124/1645,2145.4
20110124/1715,2141.0
20110124/1745,2139.3
20110124/1815,2142.3
20110124/1845,2142.8
20110124/1915,2144.2
20110124/1945,2141.1
20110124/2015,2135.0
20110124/2045,2135.8
20110124/2115,2134.4
20110124/2145,2131.5
20110124/2215,2132.0
20110124/2245,2127.8
20110124/2315,2126.6
20110125/0015,2124.0
20110125/0045,2123.0
20110125/0115,2124.1
20110125/0145,2127.3
20110125/0215,2133.7
20110125/0245,2135.4
20110125/0315,2131.6
20110125/0345,2126.8
20110125/0415,2124.7
20110125/0445,2127.0
20110125/0515,2128.5
20110125/0545,2126.0
20110125/0615,2125.4
20110125/0645,2125.2
20110125/0715,2123.7
20110125/0745,2127.5
20110125/0815,2130.2
20110125/0845,2131.1
20110125/0915,2133.5
20110125/0945,2131.9
20110125/1015,2130.2
20110125/1045,2126.4
20110125/1115,2124.8
20110125/1145,2121.2
20110125/1215,2116.8
20110125/1245,2111.9
20110125/1315,2108.2
20110125/1345,2109.4
20110125/1415,2110.3
20110125/1445,2106.0
20110125/1515,2103.9
20110125/1545,2110.9
20110125/1615,2112.5
20110125/1645,2108.2
20110125/1715,2104.0
20110125/1745,2101.7
20110125/1815,2102.4
20110125/1845,2106.0
20110125/1915,2108.8
20110125/1945,2106.7
20110125/2015,2105.4
20110125/2045,2106.3
20110125/2115,2106.0
20110125/2145,2107.1
20110125/2215,2105.8
20110125/2245,2103.6
20110125/2315,2105.4
20110126/0015,2099.3
20110126/0045,2102.8
20110126/0115,2096.9
20110126/0145,2088.3
20110126/0215,2093.1
20110126/0245,2096.0
20110126/0315,2100.5
20110126/0345,2104.6
20110126/0415,2105.6
20110126/0445,2104.0
20110126/0515,2105.4
20110126/0545,2107.1
20110126/0615,2107.3
20110126/0645,2110.5
20110126/0715,2110.1
20110126/0745,2104.9
20110126/0815,2102.1
20110126/0845,2102.0
20110126/0915,2100.4
20110126/0945,2106.3
20110126/1015,2107.2
20110126/1045,2099.2
20110126/1115,2099.3
20110126/1145,2101.9
20110126/1215,2097.8
20110126/1245,2092.9
20110126/1315,2093.9
20110126/1345,2099.4
20110126/1415,2100.1
20110126/1445,2094.7
20110126/1515,2097.3
20110126/1545,2102.3
20110126/1615,2100.0
20110126/1645,2098.6
20110126/1715,2098.0
20110126/1745,2100.8
20110126/1815,2102.5
20110126/1845,2100.0
20110126/1915,2102.4
20110126/1945,2103.8
20110126/2015,2101.9
20110126/2045,2098.1
20110126/2115,2100.1
20110126/2145,2101.6
20110126/2215,2094.9
20110126/2245,2095.5
20110126/2315,2102.4
20110127/0015,2096.9
20110127/0045,2097.0
20110127/0115,2097.7
20110127/0145,2098.5
20110127/0215,2099.6
20110127/0245,2096.5
20110127/0315,2094.1
20110127/0345,2093.2
20110127/0415,2097.7
20110127/0445,2096.4
20110127/0515,2089.4
20110127/0545,2090.3
20110127/0615,2092.5
20110127/0645,2092.1
20110127/0715,2090.8
20110127/0745,2091.6
20110127/0815,2091.3
20110127/0845,2089.5
20110127/0915,2091.4
20110127/0945,2095.0
20110127/1015,2095.7
20110127/1045,2094.3
20110127/1115,2096.1
20110127/1145,2097.1
20110127/1215,2093.1
20110127/1245,2087.9
20110127/1315,2090.6
20110127/1345,2094.5
20110127/1415,2090.9
20110127/1445,2091.2
20110127/1515,2094.5
20110127/1545,2093.8
20110127/1615,2093.7
20110127/1645,2094.7
20110127/1715,2094.4
20110127/1745,2097.6
20110127/1815,2101.0
20110127/1845,2099.2
20110127/1915,2097.1
